Pathway	SRR18584972	SRR18584974	SRR18584975	SRR18584976	SRR18584977	SRR18584978	SRR18584979	SRR18584980	SRR18584981	SRR18584982	SRR18584983	SRR18585056	SRR18585057	SRR18585058	SRR18585059	SRR18585061	SRR18585062	SRR18585063	SRR18585064	SRR18585065	SRR18585076	SRR18585077	SRR18585078	SRR18585079	SRR18585104	SRR18585105	SRR18585106	SRR18585107	SRR18585109	SRR18585110	SRR18585111	SRR18585112	SRR18585113	SRR18585114	SRR18585115	SRR18585128	SRR18585129	SRR18585131	SRR18585132	SRR18585133	SRR18585134	SRR18585135	SRR18585136	SRR18585137	SRR18585138	SRR18585139	SRR18585140	SRR18585142	SRR18585143	SRR18585144	SRR18585177	SRR18585178	SRR18585179	SRR18585180	SRR18585181	SRR18585182	SRR18585183	SRR18585184	SRR18585212	SRR18585213	SRR18585214	SRR18585215	SRR18585216	SRR18585218	SRR18585219	SRR18585220	SRR18585221	SRR18585222	SRR18585223	SRR18585254	SRR18585256	SRR18585257	SRR18585258	SRR18585259	SRR18585260	SRR18585261	SRR18585272	SRR18585273
P562-PWY: myo-inositol degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.58146	0	0	17.8213	9.39144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P621-PWY: nylon-6 oligomer degradation	0	1.65116	0	0	0	0	0	2.19782	0	1.15024	3.17867	0	0	0	0	0	0	0	0	0	0	0	7.64915	0	0	0	0	0	0	0	84.0763	0	0	0	0	0	0	0	2.10873	0	7.97364	0	0	6.82456	40.172	0	0	23.235	0	0	3.51599	12.0187	4.65917	11.2144	13.1284	0	7.20289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9597	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I	341.631	352.452	399.676	451.772	391.766	320.828	503.739	185.57	210.328	310.616	241.855	422.391	534.247	576.753	656.971	564.422	414.696	1790.53	504.713	476.731	238.267	345.587	411.219	402.825	382.592	394.405	445.09	399.474	487.058	381.886	274.772	25.6875	366.585	202.36	172.658	429.65	347.858	339.193	535.358	348.701	426.944	463.09	374.386	116.76	346.841	378.667	342.342	382.492	290.661	323.402	361.297	162.052	284.031	122.096	284.699	264.164	183.693	352.523	177.079	244.487	369.114	424.074	492.78	771.533	322.476	521.649	559.799	222.979	296.059	262.396	341.023	345.592	353.589	339.181	358.291	354.248	367.507	319.722
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	384.431	393.906	439.213	481.571	371.015	365.261	505.601	212.58	268.587	335.087	273.779	465.72	515.077	550.761	644.806	563.819	440.357	298.988	527.772	499.844	311.861	390.115	434.038	415.228	393.448	439.423	478.043	448.506	448.034	214.192	316.793	42.6607	343.101	250.138	202.664	473.287	376.148	340.317	506.163	415.874	426.713	374.442	379.688	152.744	374.164	387.914	340.171	425.382	339.824	368.838	393.752	179.557	297.605	156.045	319.969	309.485	214.332	377.278	219.214	280.257	418.744	464.233	534.115	730.675	278.039	541.154	535.648	232.749	355.572	347.357	358.854	343.861	357.096	368.106	390.115	378.452	421.41	362.535
PENTOSE-P-PWY: pentose phosphate pathway	196.975	181.957	147.596	213.375	296.699	302.617	108.882	205.064	361.498	248.676	243.664	177.437	214.187	173.295	365.937	237.883	358.439	0	187.985	198.666	350.982	334.903	105.217	170.508	25.6621	430.761	477.618	33.2606	213.804	416.871	21.2889	27.3874	161.828	170.638	135.096	75.7358	75.667	243.719	339.765	40.3813	68.6158	158.572	287.132	60.2601	52.0915	221.968	193.969	95.5917	126.386	176.116	255.523	156.468	113.876	122.41	188.463	212.097	141.226	149.258	357.157	373.301	77.3467	171.268	115.03	127.904	332.858	248.575	100.615	209.788	129.956	3.71884	16.6643	51.4017	72.7008	29.0861	14.4201	9.37504	232.936	177.106
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	665.548	658.06	651.262	661.939	743.041	724.123	658.062	530.608	660.578	473.422	601.641	584.922	572.968	598.818	783.326	625.816	717.65	1451.8	768.984	639.947	656.973	691.871	595.355	458.63	645.602	705.7	706.166	682.125	513.351	335.699	692.871	812.417	375.342	464.262	587.346	690.43	599.03	490.636	673.833	685.931	750.657	479.712	429.216	815.266	635.007	478.374	437.74	664.408	618.742	496.758	548.051	454.726	499.726	399.006	633.869	577.476	386.584	539.319	468.954	584.537	612.46	558.592	658.669	816.038	334.105	566.836	595.665	843.678	576.723	787.728	597.854	663.693	756.322	621.904	642.351	624.294	623.91	721.43
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	151.049	170.825	179.174	214.833	243.179	299.776	63.0687	99.1445	44.3452	69.6948	64.575	77.5215	205.538	81.9536	6.22045	46.7499	293.936	0	14.6542	61.1367	330.562	270.522	225.485	275.914	144.574	365.572	385.503	22.754	184.737	417.919	28.5742	33.1339	75.5032	201.672	170.417	69.8838	240.66	433.325	353.621	207.13	213.159	286.104	263.028	118.217	243.474	268.322	175.583	166.276	87.2688	149.365	103.562	37.7979	86.6908	56.3047	88.4317	100.502	105.053	39.357	311.123	257.825	59.5206	59.9133	0	5.46622	304.447	0	57.1504	88.8607	0	245.361	225.271	195.924	67.5881	271.158	225.626	290.699	234.429	164.787
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	2.02636	2.31474	0	6.62778	0	0	5.16208	0	0	0	0	0	0	0	0	5.61937	29.9431	0	0	0	0	0	0	0	18.482	5.08318	8.50069	0	6.50338	2.27959	5.4172	0	6.84762	0	17.1209	0	0	15.6025	0	0	11.8629	0	2.62636	0	3.35243	4.10753	7.84491	7.57294	0	6.24353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.47285	5.73499	15.9669	11.7659	15.9243	17.9218	9.81508	0	0
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	28.0681	28.3481	26.27	20.922	13.6028	9.46066	41.1556	10.9901	0	5.58443	7.69897	28.8186	16.3382	6.97689	11.0121	15.5132	21.0177	0	25.3604	21.1086	54.8275	29.2612	5.6792	2.71538	48.3071	37.0206	21.5988	71.7654	14.2339	268.52	7.07106	0	20.9087	87.5897	104.319	8.61798	0	163.427	0	0	12.1294	0	10.237	2.78778	7.63233	4.00491	7.72672	13.0319	0	10.7274	6.50292	8.24032	0	7.63519	4.07429	2.20218	4.75467	16.8833	0	22.7112	20.1543	28.4655	47.6376	35.5746	182.791	0	0	73.5589	0	9.89316	25.8812	24.6115	25.6915	28.7628	46.1281	26.6099	23.6205	21.7799
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	59.7688	77.9205	91.1366	97.2937	70.2466	63.1411	94.901	2.81086	0	99.3169	11.5898	159.134	280.873	232.05	268.794	166.974	239.801	0	81.337	195.141	203.985	149.494	123.263	116.502	19.2373	83.4164	93.2966	0	177.893	210.368	8.56695	0	72.2872	66.382	77.9087	0	20.6401	167.735	168.207	0	0	0	158.961	33.9572	19.7149	154.679	140.709	41.9222	0	139.566	96.074	5.94562	5.83314	8.25237	20.6798	6.06183	25.5307	156.989	95.7597	121.401	72.2162	152.536	57.3524	192.346	209.042	95.6608	158.92	268.71	0	0	8.55198	6.83948	0	24.245	13.1262	4.27852	76.326	62.5789
PPGPPMET-PWY: ppGpp metabolism	32.1426	56.5575	30.4927	18.6961	218.172	174.455	205.471	86.2115	65.6387	62.0749	75.7849	61.5695	37.0294	36.9382	62.1611	25.7306	186.026	0	162.772	155.156	174.558	198.091	75.6183	18.2459	66.3709	257.036	346.168	44.152	4.13991	56.0098	9.82073	0	3.38357	125.988	62.5183	147.695	93.9644	168.708	53.8319	96.8088	155.388	231.83	42.5968	36.1356	144.861	19.6227	15.7243	120.149	77.8294	85.0515	80.6146	50.2753	44.3409	73.6745	91.4431	72.1205	39.0777	81.8742	203.702	213.472	95.8766	66.0501	185.438	355.657	14.3496	4.57687	5.6398	0	165.491	9.00861	44.5809	82.3194	88.5246	42.6325	32.4439	13.7475	31.9481	42.7977
PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction)	0	0	0	6.38869	0	0	6.221	0	0	7.16546	0	0	0	0	0	0	0	0	0	0	0	0	3.89115	3.39973	0	0	0	0	0	0	0	0	0	0	0	4.58795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.03298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77366	0	0	3.29992	1.65279
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.35	26.0544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis"	0	0	0	0	0	30.0306	0	0	0	0	0	0	0	0	0	0	100.808	0	0	0	0	0	0	0	0	15.8413	27.7302	0	13.3486	210.019	0	0	0	143.994	95.9715	0	0	149.856	0	0	0	0	45.8728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.3941	0	0	0	0	0	163.719	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1042: glycolysis IV	746.67	761.754	772.681	741.761	635.126	653.972	899.601	629.363	694.175	601.672	645.397	773.194	853.456	930.855	1163.17	975.658	982.812	29.3605	973.456	915.211	546.54	622.327	794.915	563.767	715.725	589.561	536.782	968.515	671.45	416.314	737.727	320.498	555.211	573.052	640.106	1104.36	758.224	700.823	810.464	839.349	970.087	711.232	583.174	969.352	843.802	653.988	660.634	1111.5	718.857	742.192	674.957	487.337	539.921	447.4	725.109	570.966	395.028	628.153	377.842	517.821	907.687	779.936	914.407	1363.23	532.936	857.226	869.505	847.337	870.417	982.802	652.874	679.646	776.06	722.338	738.717	707.819	682.122	764.153
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	59.4003	56.638	56.6182	105.626	50.3776	39.7989	12.1397	18.237	5.51925	82.7408	36.7348	42.1148	91.0911	56.6571	8.9661	34.9988	174.624	0	17.6197	39.8899	58.0829	143.85	24.9769	159.675	83.5409	272.706	326.96	12.3593	20.262	260.116	3.16845	4.68828	19.0985	50.177	63.9859	5.4723	0	167.502	210.048	0	0	0	168.372	0.559755	0	146.728	56.3852	7.53609	15.6741	25.6898	78.5729	21.0806	2.73962	7.9846	17.7051	7.30304	26.3819	69.9453	188.403	166.049	26.9764	30.8535	43.4691	9.18982	262.073	47.194	20.5055	139.41	0	383.747	121.14	62.7646	29.0102	166.779	165.105	232.968	97.7165	62.7685
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	89.888	127.1	87.3702	20.4772	0	0	171.364	163.793	120.849	9.61962	74.8491	166.119	62.0144	63.4656	154.715	102.533	39.5263	0	412.303	308.42	0	0	126.442	26.0935	96.7209	0	0	388.333	28.2278	1.61657	102.04	11.1356	0	118.217	25.5213	459.92	207.721	337.95	114.863	251.285	330.091	299.843	40.5106	96.6219	284.875	51.1528	46.9509	227.61	210.235	94.6611	14.179	104.361	151.957	145.844	148.997	95.4957	74.9673	23.8299	0	0	183.005	81.0374	298.246	848.728	10.1247	42.8635	31.9346	0	339.162	17.3859	102.99	177.527	210.626	69.4523	46.9425	29.6502	76.4937	110.189
PWY-2201: folate transformations I	0	0	0	0	64.7323	34.2475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.8301	64.3824	0	0	0	214.26	233.409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163.459	154.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type"	93.8947	66.9185	43.2102	49.3945	220.312	244.799	17.096	73.2367	80.3412	119.693	103.539	99.2746	17.4251	21.5025	32.9149	37.8556	66.1627	0	158.494	125.169	211.027	210.925	47.5856	6.64653	12.8644	234.476	272.799	32.2137	12.2161	92.5173	263.664	27.1787	19.2843	202.837	108.465	69.2369	71.7161	185.969	22.8235	70.3097	128.365	37.4739	49.1109	40.2012	123.061	26.878	16.5872	97.1658	70.8838	70.9316	143.458	60.5246	55.7494	39.2379	78.1699	91.4923	79.3732	48.6143	192.732	199.701	81.5445	48.5887	137.706	69.8639	124.739	20.329	25.0357	0	122.379	0	21.9701	59.9934	51.5284	6.20217	0	3.21205	80.037	71.191
PWY-2941: L-lysine biosynthesis II	179.505	164.627	122.713	205.173	400.773	447.397	68.0227	193.865	324.226	143.847	280.405	225.02	218.534	119.159	47.8975	36.5918	69.5917	82.5084	117.225	106.03	388.552	384.313	153.344	175.541	122.73	285.238	313.311	123.449	33.2988	24.045	468.77	757.986	6.1295	256.475	282.512	233.334	146.768	110.949	181.134	245.715	381.103	241.793	305.955	733.232	467.93	128.204	71.3756	450.809	293.297	97.4412	205.13	235.165	238.258	224.578	308.713	277.242	199.58	137.625	300.744	396.451	56.9612	79.834	92.2467	172.367	14.2402	47.4274	40.0743	379.146	0	8.51629	61.3765	159.877	138.983	96.6245	59.2148	36.8722	138.089	147.097
PWY-2942: L-lysine biosynthesis III	414.163	440.694	423.477	519.476	548.223	568.463	636.554	362.09	401.089	394.79	407.098	511.612	390.447	269.189	510.602	337.686	472.728	545.184	567.892	540.183	407.886	496.143	417.174	396.541	449.739	473.977	453.602	593.798	410.658	83.8717	367.987	149.225	269.714	337.346	322.215	619.609	458.768	398.537	589.431	488.454	497.506	460.179	394.519	224.491	469.475	403.438	341.571	609.862	456.716	415.226	454.179	295.121	412.783	238.535	496.041	460.634	252.136	395.696	322.142	381.422	439.53	427.932	508.186	716.835	319.952	359.551	366.21	514.498	519.957	304.637	409.768	426.438	386.435	455.45	450.564	404.973	458.012	430.084
PWY-3001: superpathway of L-isoleucine biosynthesis I	433.147	410.484	382.221	394.461	511.456	517.9	427.171	365.448	533.996	407.174	459.163	477.099	210.018	171.419	347.393	263.631	463.991	0	529.551	502.733	484.202	523.624	389.563	304.877	376.597	507.134	549.234	534.369	290.02	377.709	640.157	268.747	149.854	386.675	374.339	495.5	406.389	497.047	428.883	441.763	583.55	406.469	328.436	875.483	577.292	316.771	302.196	542.121	380.25	382.892	455.211	333.384	339.707	312.58	506.459	407.551	264.954	390.855	422.644	500.811	437.57	425.543	475.271	414.468	309.977	140.933	216.834	181.897	482.775	137.993	313.689	357.099	339.68	324.283	343.828	278.5	416.452	383.465
PWY-3841: folate transformations II (plants)	547.251	567.842	532.3	572.785	742.878	820.77	682.445	458.635	548.03	422.432	478.329	548.791	567.242	616.138	688.879	625.877	569.606	758.106	635.078	559.477	811.425	736.03	509.516	455.319	558.456	723.331	735.512	520.954	459.094	245.8	558.058	232.09	393.566	380.682	460.507	572.809	614.965	417.847	648.359	526.326	611.093	552.483	401.07	863.554	536.132	428.969	383.19	596.361	478.642	441.657	499.006	366.986	398.489	327.848	506.591	478.149	336.293	464.56	448.806	683.798	503.856	493.72	660.657	682.666	322.939	596.46	603.438	410.41	638.658	598.636	518.632	635.178	695.426	513.3	512.004	496.073	549.328	597.778
PWY-4041: &gamma;-glutamyl cycle	88.4475	68.848	44.4958	51.017	159.253	126.74	26.432	113.061	180.507	152.765	133.34	100.158	11.5357	14.613	35.4393	40.7644	234.564	0	175.101	145.538	184.157	236.101	89.6199	95.7503	46.7871	124.055	87.5006	123.768	20.2164	316.959	308.451	42.083	32.7608	136.576	124.026	85.4062	94.8037	259.177	177.397	55.0292	197.243	30.1084	82.6397	518.135	239.196	98.1182	137.859	129.521	114.514	118.59	148.026	99.6183	81.9751	91.884	149.438	106.013	77.4078	113.082	85.2369	63.6077	104.034	85.4044	156.05	35.2903	252.915	21.5025	88.4239	217.243	203.492	3.94776	20.9203	68.7127	58.0552	32.0017	22.0373	22.7702	72.5297	69.4174
PWY-4984: urea cycle	84.7222	101.25	69.5282	154.722	11.9153	7.86052	64.4393	5.02355	8.80796	39.0316	4.05233	169	146.299	91.7978	326.665	170.974	275.6	0	45.8869	131.154	52.5852	26.1078	46.0392	118.711	16.1995	34.3407	18.4351	0	202.426	1.79563	8.18529	0	130.755	0	14.2678	4.67083	0	13.6843	240.488	9.6874	21.559	66.7688	203.362	0	17.7826	213.133	206.233	20.2731	0	121.744	201.184	10.8008	0	7.01225	17.1908	13.0276	40.1844	205.638	92.116	34.3512	51.7466	170.119	57.3146	115.58	185.388	189.918	165.335	44.1402	38.5729	1.99618	4.58066	19.4748	10.1847	15.1918	15.9313	8.42567	155.423	84.3162
PWY-5004: superpathway of L-citrulline metabolism	3.55822	0	0	2.49203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.44987	9.40038	0	0	0	0	0	0	0	0	0	0	15.642	3.53601	0	0	0	0	0	0	0	0	0	8.8116	0	0	0	0	0	0	0	0	0	0	2.18331	0	0	0	0	0	0	0	1.03001	0	0	0	0	0	0	0	0	0	0	0	0	1.62053
PWY-5005: biotin biosynthesis II	24.2601	26.5597	31.621	30.5002	175.579	178.068	13.4512	17.4617	17.645	13.2168	17.8054	0	40.2685	19.7753	56.064	6.81737	17.3092	0	15.8634	14.8475	98.5095	148.321	16.7665	5.62678	40.1263	140.046	109.755	24.0675	2.9041	20.2561	7.20364	0	9.00815	26.9047	32.3801	41.1814	44.0181	49.4369	2.49309	14.9698	4.75949	39.2648	4.26628	9.76602	6.47398	6.36442	62.0179	24.956	46.9922	18.1634	12.4743	15.7742	23.5764	9.96466	34.6106	23.8702	14.6334	61.4894	34.7324	34.3002	15.7768	34.9774	52.3335	11.663	66.18	14.8229	102.176	0	0	9.37558	20.0298	29.2193	15.4514	27.0903	35.6618	20.6158	27.9704	22.3594
PWY-5022: 4-aminobutanoate degradation V	4.20075	9.06608	3.55512	34.4303	0	0	4.96634	0	0	4.62808	0	0	0	0	0	0	0	0	0	0	0	0	5.49555	1.99366	6.39497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.99971	0	0	0	0	0	0	0	0	0	5.42305	0	0	0	0	0	0	0	0	1.28735	0	9.60227	0	9.53185	10.1534	4.09681	5.51736	6.26639
PWY-5028: L-histidine degradation II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.1526	0	0	0	0	0	0	0	0	6.87987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5030: L-histidine degradation III	78.4257	91.0884	63.6098	196.56	96.5219	96.4223	38.2896	1.60949	0	146.675	3.56745	137.699	456.495	535.371	628.921	521.971	407.304	0	19.8415	100.336	182.391	128.196	43.0422	185.377	5.71326	66.9028	57.9377	0	335.548	0	0	0	174.823	0	0	1.39984	0	1.43562	313.935	0	0	85.3154	224.964	8.15147	0	212.063	220.295	18.3568	0	123.327	192.261	7.48094	3.31923	2.93149	3.21809	20.9386	30.9606	168.083	123.921	89.5633	32.2002	128.168	17.4523	67.5258	177.625	446.596	488.178	126.139	0	1.34597	3.64403	11.2588	2.2252	18.0696	10.3604	8.0242	137.238	86.1017
PWY-5097: L-lysine biosynthesis VI	615.884	594.07	596.565	579.203	548.134	558.937	765.416	444.318	645.731	412.157	565.58	529.954	563.05	588.276	721.399	596.149	505.945	1391.26	610.461	580.573	435.211	533.645	574.091	428.534	577.331	499.375	552.961	708.979	437.414	284.813	490.717	658.752	307.332	476.084	445.636	636.196	511.288	462.34	567.348	556.611	581.776	430.224	417.693	445.976	542.542	408.866	350.683	653.61	467.919	458.821	486.009	370.158	439.64	329.891	581.542	545.016	326.745	467.047	355.908	382.758	572.993	507.988	589.884	715.499	343.579	563.767	580.914	620.024	551.46	624.635	495.064	520.391	630.798	504.345	513.516	492.877	563.569	653.317
PWY-5100: pyruvate fermentation to acetate and lactate II	324.036	346.886	339.621	273.339	432.912	452.233	529.581	420.786	551.686	317.969	510.68	365.697	92.7143	65.8506	204.497	104.928	162.83	0	576.772	469.604	449.44	440.963	360.742	119.105	249.148	410.836	430.022	642.179	108.583	255.852	665.479	893.948	48.3887	363.696	431.134	542.345	393.287	380.062	278.114	535.34	718.699	307.043	183.86	827.655	586.989	169.342	150.488	519.588	480.933	311.028	333.607	362.314	366.742	345.059	520.595	426.376	242.253	246.073	376.264	389.481	387.739	273.094	481.934	830.443	108.185	101.315	73.1097	295.925	501.518	83.2143	189.28	263.099	317.172	175.915	178.672	136.691	289.937	333.501
PWY-5103: L-isoleucine biosynthesis III	522.361	517.414	441.671	423.614	588.497	619.373	742.715	534.243	654.543	467.397	601.489	500.219	263.206	181.655	294.72	192.951	392.639	0	688.452	634.166	543.574	597.662	495.644	366.9	528.804	574.426	552.482	686.433	282.803	497.224	722.551	172.355	204.917	458.087	470.423	698.215	552.165	629.35	551.375	577.985	804.543	497.946	405.002	921.991	699.55	393.968	318.358	691.683	551.049	423.718	563.63	425.06	504.023	375.058	670.94	565.406	363.513	480.101	454.461	533.753	640.154	442.947	799.605	754.303	318.217	61.4896	128.203	102.245	633.95	754.394	462.853	478.047	531.296	538.214	539.86	598.769	485.074	482.575
PWY-5104: L-isoleucine biosynthesis IV	0	0	0	1.65854	0	0	0	0	0	0	0	0	0	0	0	8.94852	2.29347	0	0	0	0	0	0	0	0	0	0	0	3.88391	2.48446	0	0	0	0	0	0	0	39.8552	0	0	0	0	0	0	2.26395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.86969	0	0	135.464	0	0	0	0	0	0	3.07425	0	0	0	0	0	0
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	121.447	144.795	136.063	187.233	102.408	90.5493	131.108	72.8144	41.4115	237.996	65.9927	250.288	498.211	579.669	662.617	583.959	569.156	0	120.944	264.854	250.484	215.699	233.573	203.184	75.0704	123.311	132.686	12.9134	400.59	121.642	25.8564	0	329.157	49.5743	141.02	10.7344	51.4109	141.26	273.409	0	20.5582	0	218.153	47.3475	55.4797	270.232	311.636	101.718	14.3525	246.882	208.981	64.2551	48.9526	42.7986	66.8007	48.9839	60.6641	266.415	127.348	103.204	153.243	260.177	79.5947	257.357	230.356	535.048	556.857	552.308	0	25.7403	55.1833	21.4579	11.4179	48.8015	76.0427	45.6704	145.539	135.292
PWY-5130: 2-oxobutanoate degradation I	28.4878	35.2325	16.0105	36.389	205.66	205.266	0.990138	3.42574	8.41085	15.5869	4.25227	0	27.6185	16.8634	0	0	8.21237	0	0	0	106.763	177.072	3.43019	19.0696	9.09127	111.889	68.264	5.97725	16.4639	1.19722	2.45949	0	2.86923	13.2387	14.2214	0	0	4.75198	4.03311	0	0	0	1.08808	0	0	15.5436	31.1454	3.89086	101.757	0	68.4276	7.15738	8.27368	0	2.33684	18.8055	18.599	58.4129	56.9381	60.3579	2.9989	12.7693	0	0	4.90109	4.65316	2.70564	0	0	1.52569	8.57016	11.0556	8.66087	12.5004	15.4725	3.21953	42.9518	29.4168
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	34.4993	30.232	28.2285	53.3075	0	0	25.1631	25.8271	22.9846	4.05992	16.9712	9.75022	5.93239	5.19972	20.923	6.69443	1.42654	0	0	4.20843	0	0	40.8387	9.46161	10.3312	4.08565	16.1481	0	7.45527	492.194	4.76101	0	6.53957	82.7189	70.7572	41.4892	39.9823	216.136	54.7019	64.8247	55.2202	31.172	2.972	21.4563	45.4029	7.19335	8.76721	25.3091	30.0555	26.8232	5.89503	24.0895	19.664	11.5633	31.742	13.6433	15.6766	7.80961	0	0	9.11654	3.91014	24.4139	42.4316	138.831	1.44562	5.80239	0	0	0	10.6917	18.1398	9.39507	2.25586	7.89482	3.30465	23.208	31.722
"PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)"	0	0	0	3.53552	0	0	0	0	0	0	0	0	0	0	0	0.391553	0	0	0	0	0	0	0	0	0	0	0	0	1.14033	90.0575	0	0	1.51175	83.8355	70.6958	0	0	92.2809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.8857	0	0	0	0	0	0	0	0	0	0	1.29697	0	0
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	162.303	169.129	187.986	377.265	111.322	104.733	69.9709	64.134	80.7305	198.765	47.739	290.317	161.326	91.3649	359.92	176.25	254.372	0	79.8075	193.644	151.045	157.471	88.1006	314.86	257.352	138.458	114.186	154.933	184.033	354.392	48.7453	24.8059	111.077	197.226	221.603	71.7731	21.1851	363.858	406.469	43.4464	33.5362	115.49	215.315	39.5902	40.6805	310.458	272.703	128.317	44.8693	229.928	185.185	60.2061	80.2927	51.1276	102.477	53.8451	33.9526	266.597	71.2757	63.7891	54.4275	230.21	62.9652	138.728	302.394	203.662	157.419	0	88.7293	206.012	314.444	163.176	89.3825	404.676	412.712	391.269	238.739	140.777
PWY-5156: superpathway of fatty acid biosynthesis II (plant)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.80853	9.30224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	87.4253	121.145	131.916	106.302	344.431	377.375	148.05	130.612	87.5386	61.4025	155.451	142.041	61.9823	26.2414	98.8036	47.3264	218.692	1061.25	268.076	230.425	375.163	445.334	223.327	90.7344	185.768	484.348	533.947	463.338	67.3625	352.929	69.7204	0	68.5838	165.12	204.526	365.632	278.259	310.936	98.5668	313.273	245.514	200.323	75.3794	56.2125	165.635	82.3383	90.8097	227.645	267.287	176.122	77.9541	104.165	233.211	86.5514	211.713	199.259	111.617	128.157	313.889	274.437	141.309	106.643	194.803	437.486	211.067	35.4131	34.1788	559.816	180.888	29.4251	121.084	158.248	173.376	95.5781	130.544	82.7037	107.793	116.01
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	2.59484	0.961814	0	3.49816	123.582	152.339	0	7.5101	1.73375	0	2.33116	0	0	0	0	0.917799	71.4789	5.3879	5.48372	1.87117	243.143	144.555	0	0	2.26336	222.784	288.215	6.19469	5.53411	249.333	10.8243	0	0	101.43	104.751	0	0	112.649	0	0	0	0	2.84171	0	0	2.82999	0	0	2.46835	0	0.54887	0	0	0	1.0989	0	0	0	204.646	147.326	1.98794	0	0	6.29088	135.949	0	0	479.011	0	0	0	1.05371	1.80564	1.13106	0.579045	0	3.94067	2.96199
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	0	0	0	4.74215	265.987	409.783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240.485	80.912	0	0	0	192.634	191.498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6358	0	0	0	96.5652	0	0	0	0	0	0	0	0	125.684	0	223.282	257.066	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33858	0	0	0	0
