Pathway	O1_E_1cm	O1_E_5cm	O1_K_1	O1_LI_10cm	O1_LI_19cm	O1_LI_1cm	O1_LI_28cm	O1_LI_37cm	O1_LI_46cm	O1_LI_55cm	O1_S_1	O1_S_3	O1_SI_161cm	O1_SI_1cm	O1_SI_201cm	O1_SI_41cm	O1_SI_81cm	O1_Tg_F_Th	O2_E_1cm	O2_E_5cm	O2_K_1	O2_LI_10cm	O2_LI_19cm	O2_LI_1cm	O2_LI_28cm	O2_LI_37cm	O2_LI_46cm	O2_LI_55cm	O2_S_1	O2_S_3	O2_SI_121cm	O2_SI_145cm	O2_SI_49cm	O2_Tg_TR	Y1_E_1cm	Y1_E_5cm	Y1_K_1	Y1_LI_10cm	Y1_LI_19cm	Y1_LI_1cm	Y1_LI_28cm	Y1_LI_37cm	Y1_LI_46cm	Y1_LI_55cm	Y1_S_1	Y1_S_3	Y1_SI_113cm	Y1_SI_137cm	Y1_SI_29cm	Y1_SI_85cm	Y1_Th_TG_f	Y2_E_1cm	Y2_E_5cm	Y2_K_1	Y2_LI_10cm	Y2_LI_19cm	Y2_LI_1cm	Y2_LI_28cm	Y2_LI_37cm	Y2_LI_46cm	Y2_LI_55cm	Y2_S_1	Y2_S_3	Y2_SI_113cm	Y2_SI_141cm	Y2_SI_169cm	Y2_SI_1cm	Y2_SI_29cm	Y2_SI_57cm	Y2_Tg_TR
PENTOSE-P-PWY: pentose phosphate pathway	0	0	0	25.7259	21.8652	21.6812	26.3074	19.423	21.9765	22.6767	311.704	57.9899	0	107.967	0	0	20.9283	261.813	81.6854	0	0	9.34402	19.9186	12.0214	10.982	11.7908	17.815	23.1632	337.666	240.449	112.036	115.45	46.0712	256.9	152.511	248.363	119.424	2.53572	3.04215	13.4343	3.84207	1.89005	5.20573	6.73403	279.3	535.611	0	16.8131	0	0	56.9855	53.2078	0	0	29.5403	28.8036	38.531	44.3431	30.2569	26.2272	34.4164	356.756	386.233	201.562	268.479	272.525	0	35.3217	304.348	242.589
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	100.002	103.564	202.004	634.102	682.288	630.117	658.958	667.397	633.745	653.137	547.503	68.0405	446.63	253.987	425.193	449.924	422.214	587.788	196.73	108.491	168.97	526.275	549.047	493.376	508.774	472.544	405.899	414.625	520.343	399.436	312.123	242.16	232.336	484.387	107.886	174.849	161.265	478.843	446.879	603.285	428.223	449.982	456.088	510.324	451.87	520.424	0	518.445	0	0	105.495	155.629	0	154.432	475.202	420.795	530.216	447.955	390.249	437.581	454.383	611.141	665.161	433.992	482.88	499.822	299.973	368.195	546.089	187.813
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	0	0	0	326.347	353.948	215.414	327.911	350.514	296.478	305.85	298.388	0	183.812	132.594	190.408	164.985	174.116	356.312	76.4705	0	0	161.413	203.386	144.109	153.984	123.634	63.0886	76.6471	288.125	222.168	57.2441	146.061	66.6366	214.958	125.87	149.016	0	48.908	73.5671	234.342	82.3693	79.8471	91.4719	58.8058	195.968	384.326	0	243.969	0	0	53.794	49.2743	0	0	138.884	133.041	170.185	145.371	144.137	148.986	172.227	217.732	220.011	193.498	222.353	111.863	101.709	103.052	217.127	175.783
PHOTOALL-PWY: oxygenic photosynthesis	0	0	0	0	0	0	0	0	0	0	3.94413	0	0	0	0	0	0	0	0	0	0	0	0.146893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0834011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.18626	2.90923	0	0	0	0	0	0	0
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	0	0	0	8.34039	6.54862	4.22445	11.5482	8.50761	8.59092	7.12642	2.88699	0	0	0	0	0	0	30.5602	0	0	0	20.9648	24.7517	22.9386	31.1793	19.5226	24.3877	13.9514	0	0	0	0	19.8707	5.99753	0	0	0	2.33282	3.32202	3.72804	4.10823	3.53507	6.58533	4.29866	2.86083	0	0	0	0	0	0	0	0	0	17.8084	18.9976	23.7955	17.0459	18.7831	17.7119	19.7884	0	0	0	0	0	0	0	0	0
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	0	0	0	30.1938	25.0466	26.5477	29.7941	21.9491	22.565	25.5645	3.00998	0	15.8977	0	0	0	16.4747	16.296	0	0	0	27.9654	27.1601	30.8763	29.5782	28.0767	25.7833	24.5702	0	13.5223	0	11.848	0	41.5985	0	48.7494	0	10.5511	8.03187	21.8152	8.46554	8.09241	10.915	7.41853	50.5142	18.253	0	22.2911	0	0	0	0	0	0	26.1184	25.0602	25.0132	35.1163	33.2174	30.5017	36.1208	23.1234	11.4766	0	29.4065	0	0	0	24.5532	0
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	0	0	0	8.35967	4.70568	12.9881	9.58387	6.55329	5.74044	3.72571	89.5201	0	0	43.2374	0	0	0	88.7296	0	0	0	2.72686	6.40196	3.91281	2.40048	4.01517	1.85401	0.853817	61.5905	44.5134	29.5837	52.5294	0	130.311	0	0	0	0.620669	0.941533	2.28978	1.35261	1.49572	1.54896	1.33991	76.9662	103.771	0	16.7774	0	0	0	0	0	0	9.28126	9.92815	15.0347	12.6502	12.2818	10.2573	13.7418	195.926	217.667	100.787	141.528	214.24	0	24.5447	214.585	48.1225
PPGPPMET-PWY: ppGpp metabolism	0	46.0253	0	7.17986	6.08733	6.60468	5.446	5.61971	7.9184	7.08799	292.853	46.2928	0	137.975	0	0	0	324.798	61.4674	0	0	7.62917	11.4444	8.49491	9.52065	10.9922	2.32018	1.71168	324.354	193.035	0	20.7758	0	213.099	100.938	125.444	122.562	2.78602	1.56012	8.99788	1.00037	3.13744	1.79506	1.43203	143.308	192.401	0	15.8966	0	0	47.136	39.8534	0	0	11.7361	14.5498	15.4529	10.5395	16.8458	9.7104	11.9535	250.202	191.989	0	0	0	0	12.0083	5.44611	205.747
PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction)	0	0	0	4.02657	2.45006	6.75721	3.02808	0	0.783373	0.910501	5.67457	0	0	0	0	0	0	6.36016	0	0	0	0	0.985366	0.794939	0.758246	1.24002	2.28969	1.22374	0	0	0	0	0	3.8078	0	0	0	0.734674	1.20308	1.91753	1.54546	0	0.896438	0.800349	0	1.47235	0	0	0	0	0	0	0	0	0	0	1.2238	0.791802	0.763797	0	0.460793	0	1.41974	0	0	0	0	0	0	0
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	0	0	0	0.144457	0	0.445093	0	0	0	0	0	0	0	0	0	0	0	0	69.2009	0	0	0.358328	1.80778	0.196127	0.701017	1.13257	1.28828	1.40469	0	0	0	4.4062	0	0	0	0	115.582	0.236637	0	0.407276	0	0	0	0.924924	4.40348	0	0	0	0	0	0	18.6524	0	0	4.34788	3.2988	3.03594	7.05392	8.32992	5.55243	5.87021	2.87151	0.79841	0	0	0	0	0	0	0
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis"	0	0	0	4.01059	4.9498	8.2803	6.51741	6.52362	6.09109	4.80768	47.6437	0	0	0	0	0	0	42.295	0	0	0	2.68309	3.68344	1.78566	2.27339	0	0	0	57.8699	15.1544	0	0	0	51.3524	0	0	0	0	0	2.65819	0	0	1.70198	0	42.4907	64.4471	0	16.6181	0	0	0	0	0	0	16.3641	14.2064	14.2072	18.6532	16.9963	16.3816	25.1237	32.1677	48.4321	0	0	0	0	0	25.2463	0
PWY-101: photosynthesis light reactions	0	0	0	0	0	0	0	0	0	0	2.63667	0	0	0	0	0	0	0	0	0	0	0	0.695335	0	0.138897	0	0	0	1.14871	0	0	0	0	0	0	0	0	0	0.102416	0	0.0958183	0	0.109494	0.129115	0	0.849177	0	0	0	181.956	0	0	0	0	0	0	0	0	0	0	0	6.28297	3.32618	0	0	0	0	0	0	0
PWY-1042: glycolysis IV	127.814	118.013	211.862	533.311	502.347	620.64	513.599	550.844	530.987	554.872	466.752	250.32	325.04	255.736	317.037	333.828	354.424	535.745	117.832	177.431	178.817	549.775	525.26	520.57	512.579	506.8	450.998	403.491	400.511	422.994	423.198	367.201	252.37	501.013	231.286	261.595	48.0558	592.041	516.146	715.118	512.278	521.734	511.452	506.258	512.069	638.133	0	611.578	0	0	211.452	160.479	83.8001	101.297	537.314	486.078	577.541	504.053	430.899	470.788	483.382	425.236	441.346	381.774	417.943	453.076	342.476	355.439	462.465	267.345
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	0	0	64.453	317.234	379.054	221.378	349.105	359.036	321.742	340.507	107.127	0	275.239	85.114	262.777	263.782	266.539	85.5661	173.964	104.195	59.9502	192.021	181.341	145.376	188.908	139.118	37.6676	20.1459	144.148	89.1182	42.1437	92.4845	81.9176	93.9367	136.709	142.374	107.308	72.3575	100.148	265.184	104.706	112.538	102.219	83.3194	103.793	226.459	0	270.719	0	0	68.1996	75.1708	0	27.6743	201.313	163.368	245.64	164.913	129.018	156.626	163.937	105.426	105.425	120.536	116.942	48.8563	221.024	182.914	104.826	40.1238
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	0	0	0	10.7526	10.1863	4.81598	9.76516	6.31827	11.751	13.6457	12.5414	0	0	22.6508	0	0	0	0	0	0	0	11.6324	9.72907	2.74704	4.11272	13.8455	12.0496	32.1155	0	8.28288	0	0	0	13.5044	0	0	0	17.9303	12.4118	9.2784	8.61156	7.50165	9.21602	7.23607	5.78157	4.24072	0	0	0	0	0	0	0	0	4.53123	3.52552	4.16611	3.60519	4.09467	3.89975	2.3727	24.5386	38.522	14.7703	0	0	0	0	24.7535	0
PWY-2201: folate transformations I	0	0	0	0	0	0	0	0	0	0	128.77	0	0	96.9027	0	0	0	110.913	0	0	0	0	0	0	0	0	0	0	137.714	130.808	0	0	0	48.919	0	0	0	0	0	0	0	0	0	0	7.74337	17.2798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.499	92.14	0	0	0	0	0	0	0
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type"	0	51.4166	0	103.883	94.0304	82.4721	64.063	92.3878	46.5247	42.481	341.02	1576.05	46.1744	101.345	56.5998	48.6744	43.3861	273.25	176.5	0	26.8831	16.0208	95.1354	28.2636	17.468	18.7416	10.1509	28.0097	345.517	264.014	92.568	99.2237	50.9603	185.416	115.217	162.627	135.072	29.407	6.93457	27.4635	7.00032	24.4808	17.0714	27.5996	209.788	238.016	0	11.0014	0	0	0	92.0919	0	0	16.474	16.3402	33.189	27.1119	21.9634	18.9853	23.3251	240.25	218.532	119.222	165.829	179.86	32.4732	47.2291	143.406	160.948
PWY-2941: L-lysine biosynthesis II	0	0	0	54.0541	40.5398	119.807	40.8939	31.2735	36.8755	31.109	150.492	0	48.2812	0	0	0	0	105.528	0	0	64.253	47.7468	91.0058	34.5373	31.5316	53.8212	29.2687	50.9484	138.556	105.641	142.835	136.198	103.78	185.173	59.3528	0	0	106.494	60.8213	82.7373	59.9662	65.8953	62.4295	59.2112	189.638	290.846	0	44.1919	63.9909	0	0	74.402	0	0	59.6432	56.3986	87.2955	85.131	57.5943	49.9614	50.7004	428.172	471.042	307.298	361.198	406.912	0	0	402.426	143.626
PWY-2942: L-lysine biosynthesis III	104.054	0	122.181	503.445	552.607	509.037	520.568	529.302	472.083	501.706	358.436	0	325.972	213.088	336.94	344.592	378.203	423.078	112.918	0	182.631	371.614	431.484	347.332	358.45	328.822	315.52	291.225	397.758	299.786	176.92	215.724	195.658	325.515	96.4865	220.988	0	307.713	271.511	468.171	264.448	275.152	271.545	236.951	303.366	349.473	0	386.223	0	0	176.263	70.1041	0	110.039	375.524	341.011	390.353	349.312	312.848	334.902	347.003	220.409	242.201	294.719	313.555	257.721	266.081	273.747	322.475	0
PWY-3001: superpathway of L-isoleucine biosynthesis I	0	0	0	338.773	347.69	361.624	339.945	347.222	320.314	342.39	353.637	76.1864	228.425	160.588	162.88	140.394	194.006	390.367	140.427	0	90.7857	260.088	324.389	242.744	244.96	236.394	149.934	158.306	347.346	270.989	267.909	210.726	139.939	339.625	121.336	198.688	89.3043	212.606	203.891	342.51	198.665	223.148	212.805	216.202	326.892	523.021	0	251.335	0	0	0	0	0	50.6302	270.536	250.883	290.026	262.717	228.303	239.637	256.055	457.069	496.041	255.771	247.772	234.285	173.163	76.0254	297.689	208.95
PWY-3781: aerobic respiration I (cytochrome c)	0	0	0	0	0	0	0	0	0	0	2.37584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.4108	21.7721	0	0	0	0	0	0	0	0.331353	0	0	0	0	0.175785	0.234586	3.84002	0.975201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.98522	4.85313	0	0	6.37707	0	0	0	0
PWY-3801: sucrose degradation II (sucrose synthase)	0	0	0	0.772963	0	1.79352	1.12183	0.869826	0	0.839055	20.095	0	0	0	0	0	0	0	0	0	0	0	0	0	0.961299	0	0	0	0	0	0	25.753	0	0	0	0	0	2.39014	0	0.909217	2.46462	0	1.75154	0	0	0	0	0	0	0	0	0	0	0	9.19467	6.19515	36.7972	10.1972	4.46108	4.64433	6.72051	18.3609	12.8009	74.0007	120.835	25.6078	0	0	143.842	0
PWY-3841: folate transformations II (plants)	101.955	166.221	127.425	587.939	657.777	583.02	641.12	606.234	599.721	607.81	491.911	57.6823	354.772	238.307	399.712	421.344	431.25	582.805	218.118	176.032	234.477	454.179	484.803	448.31	449.171	436.571	574.541	577.484	517.012	459.393	200.201	275.268	198.485	510.732	293.604	321.815	210.642	612.956	557.675	553.188	537.003	549.852	539.905	576.763	479.71	578.634	0	443.111	0	0	159.167	175.778	0	269.395	429.313	430.955	430.273	443.092	421.006	447.141	450.738	559.048	616.736	368.398	483.731	401.98	282.611	330.908	428.885	239.56
PWY-4041: &gamma;-glutamyl cycle	0	0	0	10.9921	9.03128	10.0472	10.9688	10.2389	9.54051	9.86774	81.0172	0	0	16.3102	0	0	0	10.7516	0	0	0	24.0647	19.7742	12.2596	15.1389	14.9639	7.07325	7.46054	40.7305	19.6763	28.6724	22.5307	18.9646	15.3993	40.3275	68.4429	0	3.35468	8.02875	23.7366	10.102	9.35746	6.91036	5.66693	24.8389	102.824	0	14.0787	0	0	0	0	0	0	14.0547	11.7878	26.8715	20.1418	11.9104	11.8228	17.4643	57.4834	75.765	116.236	144.27	280.285	0	0	160.277	24.4572
PWY-4984: urea cycle	0	0	0	7.26933	5.658	3.45052	10.577	7.65927	7.84433	6.22018	115.127	0	0	45.6543	0	0	0	130.376	0	0	48.9815	21.3017	26.8262	24.6529	38.6876	19.7644	29.002	13.7299	76.3433	102.464	89.202	13.1453	26.3749	83.7477	122.769	71.1041	0	1.81657	2.6443	2.97087	3.29926	2.84603	5.5178	3.64507	72.0138	50.5057	0	0	0	0	32.7818	0	0	0	18.916	25.1108	29.2689	17.7359	25.2221	19.2875	20.5576	28.8553	27.4156	108.767	144.424	205.164	0	0	112.133	0
PWY-5004: superpathway of L-citrulline metabolism	0	0	0	0	0.303619	0.479303	0.259502	0.618224	0.775776	1.70053	0	0	0	0	0	0	0	0	0	0	0	0	0.527542	0	0	0	0	0	0	0	0	8.44515	0	0	0	0	0	0	0	0.65034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36441	1.5894	0.563306	2.07378	2.73675	1.81673	1.67513	0	0	0	0	0	0	0	0	0
PWY-5005: biotin biosynthesis II	0	0	0	15.5366	13.681	13.9461	17.2913	13.0261	14.0951	14.4405	14.7193	0	0	0	0	0	0	18.3728	0	0	0	0	0.54706	0	0.435217	0	0.659673	0.607195	0	0	0	0	0	11.441	0	0	0	3.88383	7.56773	16.2615	7.83969	7.38659	8.12946	8.28573	52.7692	6.98271	0	18.5574	0	0	0	0	0	0	7.96184	4.12416	8.98877	7.23665	5.01277	5.51701	9.10069	0	0	0	0	0	0	0	0	0
PWY-5022: 4-aminobutanoate degradation V	0	0	0	3.7493	2.47472	3.55538	3.65974	1.7072	3.42145	2.99272	4.6396	0	0	0	0	6.39427	5.32073	6.5334	0	0	0	1.8199	1.72112	2.41322	1.82223	2.25887	4.01487	2.56768	13.6827	28.9455	0	0	12.2807	11.6909	0	0	0	0.657464	0.825664	2.15268	1.12451	0.918563	1.03978	0.868761	5.63016	0	0	0	0	0	0	0	0	0	2.64018	2.65761	1.59557	3.30994	3.96235	3.04566	3.78533	26.3883	33.03	0	0	0	0	0	0	0
PWY-5028: L-histidine degradation II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0990409	0	0	0	0	0.516135	0.308609	0	0	0	0	0	0	0	0	0
PWY-5030: L-histidine degradation III	0	0	0	4.71167	3.12411	3.17717	3.2858	4.65874	4.18839	2.73852	170.255	0	0	66.761	0	0	0	310.93	0	0	0	1.41274	1.80157	0.32548	0	3.02198	0	0	115.84	134.851	21.0894	84.4647	0	228.128	0	76.1477	0	1.29414	1.17181	6.7325	0.713963	1.51465	1.45829	2.00722	149.135	70.0931	0	3.33795	0	0	0	0	0	0	3.38767	2.21253	1.96602	2.42768	2.43619	1.41963	1.86253	38.2706	48.0296	0	0	10.8126	0	0	21.8443	24.7388
PWY-5080: very long chain fatty acid biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5088: L-glutamate degradation VIII (to propanoate)	0	0	0	0	0	0	0	0	0.166537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI	124.105	0	151.337	515.382	552.902	537.526	530.925	539.718	471.017	503.683	224.977	0	345.222	208.296	342.374	347.458	372.882	252.654	163.555	87.8087	183.337	434.987	442.546	411.297	429.545	394.011	325.998	335.407	302.078	218.746	169.73	219.001	201.084	221.957	174.134	197.605	169.921	442.438	367.092	504.28	357.181	372.804	370.522	347.809	257.645	452.988	0	410.474	73.2296	0	86.7115	191.102	0	97.9631	430.462	363.779	465.933	384.313	325.887	367.666	374.108	453.308	497.48	357.048	413.656	420.755	272.048	266.597	446.221	183.595
PWY-5100: pyruvate fermentation to acetate and lactate II	0	60.1146	0	163.032	162.669	186.085	140.647	155.621	113.129	127.063	330.372	41.3138	65.6361	103.24	90.5867	80.5459	46.8091	251.626	72.529	0	51.0061	119.735	211.213	114.691	115.184	117.366	123.697	125.185	184.356	166.479	219.163	139.321	108.437	295.91	132.11	184.08	0	210.816	187.525	215.522	181.046	178.28	183.867	167.906	291.6	471.156	0	153.879	0	0	77.8772	119.263	0	0	124.046	128.287	141.556	130.049	115.638	106.645	121.472	507.354	540.189	312.75	368.88	474.649	0	82.6369	486.643	229.696
PWY-5103: L-isoleucine biosynthesis III	88.9916	0	205.017	561.453	620.592	450.726	581.258	628.127	535.398	577.321	353.073	140.371	431.079	201.102	386.702	440.38	365.885	389.069	184.63	55.044	97.9049	475.466	490.432	400.905	450.824	385.112	276.416	270.85	370.471	284.98	327.613	358.158	192.541	378.963	228.102	302.661	169.604	310.688	330.178	566.033	340.503	357.415	359.154	313.09	353.726	648.528	0	538.419	69.3786	0	192.992	0	0	53.326	449.471	399.842	492.229	401.42	355.679	386.01	402.601	460.505	485.882	274.289	254.753	190.209	335.845	310.144	285.988	312.049
PWY-5104: L-isoleucine biosynthesis IV	0	0	0	0	0	0	0	0	0.776317	0.662686	7.08061	0	0	0	0	0	0	0	0	0	0	0	0	0.311934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.298957	0	0	0	0	0	6.85276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0	0	0	8.05402	4.08843	5.13651	7.29077	4.76992	6.61194	2.94602	129.069	0	0	57.2784	0	0	0	165.584	0	0	0	3.14964	7.92227	3.22378	2.81031	3.53593	22.8857	24.4528	42.8151	65.3015	41.5799	48.1735	0	176.508	0	0	0	3.165	0	1.76248	0	0.641101	1.04765	0	106.156	86.4797	0	3.70279	0	0	0	0	0	0	9.20332	10.5563	14.3118	10.5822	8.02568	8.23605	7.51962	164.331	179.969	132.875	170.323	186.647	0	46.825	205.017	46.0742
PWY-5130: 2-oxobutanoate degradation I	0	0	0	22.9582	23.995	25.3873	26.1638	21.5522	23.4752	21.4594	30.3931	0	0	0	0	0	12.4329	17.4275	0	0	0	17.314	17.8043	19.9854	16.3859	17.714	8.99694	11.5018	32.2999	23.5213	13.7541	0	0	20.7938	0	41.4274	0	10.2506	14.2121	16.2284	12.4468	11.9129	10.5968	9.77486	15.3665	21.8934	0	6.79927	0	0	0	0	0	0	17.9815	16.0958	14.6107	17.7908	19.6019	19.7039	21.9	12.4709	13.6724	0	0	5.9902	0	18.8446	0	0
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	0	0	0	5.4858	3.11568	4.36458	5.11587	5.0129	5.04215	6.25775	19.8766	0	0	0	0	0	0	1.12932	188.909	0	0	2.60048	4.58475	3.92774	3.2568	4.31304	3.6926	3.68678	8.99194	7.55463	0	5.07918	0	0	0	78.4361	285.84	0.31	0	1.53594	0.375818	0	0.307626	0.275393	23.1999	76.9536	0	0	0	0	0	0	0	0	8.83603	8.04552	9.92941	12.0452	13.263	9.15737	10.6548	49.7353	62.7499	40.9842	75.1623	123.386	0	0	131.865	0
"PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)"	0	0	0	0	0	0	0	0	0	0.182744	0	0	0	0	0	0	0	0	0	0	0	0	0.177121	0.258509	0.154739	0	0	0	0	2.21885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.780515	0	0	0	0	0	0	0	0	3.8678	2.1213	3.23799	4.30967	3.99033	4.0512	4.72426	1.24673	0.761663	0	0	0	0	0	0	0
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	0	0	0	240.314	193.846	210.036	219.898	267.054	257.361	249.101	33.6798	0	192.108	64.4503	157.951	171.533	168.166	21.3815	175.993	48.7389	41.1115	253.275	200.359	217.815	225.032	205.862	47.9752	23.1062	17.5311	59.002	15.2854	84.9284	51.9847	85.7208	0	69.4696	154.504	35.1872	60.3268	351.22	73.5255	76.911	81.0522	51.6625	51.3	124.426	0	291.368	0	0	0	0	0	0	277.45	193.821	317.361	213.897	140.729	196.782	196.528	154.298	164.413	98.2606	121.653	125.484	191.104	180.645	138.38	0
PWY-5180: toluene degradation I (aerobic) (via o-cresol)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01768	0	0	2.07271	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	0	0	0	94.0465	79.1679	68.0098	82.7342	81.6673	71.1684	68.5175	261.63	45.2888	19.0047	102.379	47.8153	0	19.6791	281.887	89.1613	0	0	83.8694	98.5775	64.9474	68.1098	62.8067	36.1723	53.6483	298.281	193.904	75.9003	71.536	0	190.122	111.198	200.265	118.592	110.904	102.151	134.787	103.279	103.356	114.436	107.855	169.64	305.446	0	108.475	0	0	0	56.5674	0	0	54.2583	44.1921	67.8363	65.2166	54.8145	51.6481	61.826	206.289	211.883	74.5797	91.7526	116.468	0	0	74.8978	143.594
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	0	0	0	1.10173	1.07574	1.93528	1.5013	2.04564	2.56588	1.8582	116.174	0	0	29.351	0	0	0	128.057	0	0	0	5.6217	3.20622	2.34504	4.2681	2.55694	0	1.05923	98.5733	75.6664	0	11.8787	0	101.687	0	96.2281	43.0588	1.12733	2.28607	20.0881	0.961356	1.85659	3.39354	4.09501	65.128	68.4421	0	21.0599	0	0	0	38.0436	0	0	9.01812	9.80325	11.2388	7.75656	3.86799	4.31139	6.86595	51.4156	55.9088	0	0	0	0	0	14.7906	0
PWY-5198: factor 420 biosynthesis II (mycobacteria)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.549374	0.567941	0.326035	0.242496	0.713881	2.76035	7.22717	0	1.91061	0	0	0	1.86303	0	0	0	3.76675	0	0	0	1.33761	1.27923	0.415235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24449	0	0.178671	0	0	0	0	0	0	0	0	0
PWY-5209: methyl-coenzyme M oxidation to CO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.474437	0.366689	0	0	0.640097	2.00309	6.64087	0	2.48011	0	0	0	2.2825	0	0	0	3.69229	0.847781	0	0	1.65481	1.22003	0.391862	1.43657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	0	0	0	4.27822	4.92621	3.83363	4.38551	2.71067	1.9536	5.14871	51.0557	0	0	0	0	0	0	9.01869	0	0	0	3.91459	5.29485	0	2.07105	3.38981	0	0	16.4408	7.53627	0	0	77.9636	6.60002	0	0	0	3.55694	3.07384	4.53072	2.6769	1.97204	3.60041	3.77345	87.7891	108.167	0	22.3114	0	0	0	0	0	0	12.1838	14.153	50.3672	47.2875	24.3198	21.2085	15.9987	131.393	138.377	0	149.533	0	0	0	239.405	0
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	0	0	0	85.3662	75.4422	70.9963	79.0633	82.4398	97.3384	95.472	167.288	0	35.3158	95.6101	0	0	39.4261	147.645	84.4668	0	0	94.2199	98.2059	80.7829	85.3508	85.152	38.1875	32.1572	153.675	104.608	0	93.8352	0	47.99	0	72.1076	54.871	22.2816	29.4068	130.346	31.6946	38.7954	40.7021	27.9803	57.6298	217.161	0	113.669	0	0	0	0	0	0	97.7281	87.4544	77.1444	101.838	93.0964	103.922	107.172	156.507	153.597	88.0228	34.3071	45.4565	0	47.6118	65.9614	109.712
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	0	0	0	0.589574	0.614035	1.36589	0.836265	0	0.468279	3.16197	211.348	0	0	96.428	0	0	0	211.14	94.2613	0	0	12.0959	10.1346	14.3605	8.93256	15.3733	4.35589	3.4962	217.97	113.375	50.955	41.3876	0	52.957	0	48.5711	0	0	0	3.63795	0	0	0.826039	0	32.1117	86.2616	0	0	0	0	0	0	0	0	8.52287	6.53188	9.25263	12.7261	11.7026	11.7526	16.1531	226.244	241.816	45.7688	58.8985	0	0	0	14.907	114.421
PWY-5367: petroselinate biosynthesis	0	0	0	4.01144	2.13868	4.28622	3.10855	2.13527	2.25495	1.71118	47.1721	0	0	0	0	0	0	31.2552	0	0	0	1.43327	1.08104	0	0	0	0	0	19.6612	14.5143	71.4248	22.5942	20.3645	50.4816	0	0	0	0	0.525507	0.634396	0	0	0.314768	0	48.0315	85.4378	0	4.11145	0	0	0	0	0	0	3.16086	4.50816	2.49792	13.0565	9.55675	7.97935	5.20756	60.4137	73.3368	0	0	0	0	0	7.58188	23.0155
